x,y,z
-1.780441856384277344e+01,-1.030452728271484375e+01,-9.665220379829406738e-01
-1.780441856384277344e+01,-1.022472763061523438e+01,-9.696965813636779785e-01
-1.780441856384277344e+01,-1.011971569061279297e+01,-9.886973500251770020e-01
-1.783784675598144531e+01,-1.006667900085449219e+01,-9.957297444343566895e-01
-1.780441856384277344e+01,-1.001354312896728516e+01,-1.029969811439514160e+00
-1.780441856384277344e+01,-9.902124404907226562e+00,-1.099530100822448730e+00
-1.783784675598144531e+01,-9.929907798767089844e+00,-1.106082081794738770e+00
-1.780441856384277344e+01,-9.815125465393066406e+00,-1.134621024131774902e+00
-1.780441856384277344e+01,-9.722936630249023438e+00,-1.187117218971252441e+00
-1.780441856384277344e+01,-9.693791389465332031e+00,-1.184555888175964355e+00
-1.780441856384277344e+01,-9.501921653747558594e+00,-1.246627449989318848e+00
-1.780441856384277344e+01,-9.427104949951171875e+00,-1.299879670143127441e+00
-1.780441856384277344e+01,-9.315380096435546875e+00,-1.353540539741516113e+00
-1.780441856384277344e+01,-9.230070114135742188e+00,-1.413892626762390137e+00
-1.780441856384277344e+01,-9.111403465270996094e+00,-1.453295588493347168e+00
-1.780441856384277344e+01,-9.035463333129882812e+00,-1.461978077888488770e+00
-1.780441856384277344e+01,-8.949123382568359375e+00,-1.492293953895568848e+00
-1.783784675598144531e+01,-8.902577400207519531e+00,-1.512758612632751465e+00
-1.780441856384277344e+01,-8.845995903015136719e+00,-1.554513335227966309e+00
-1.780441856384277344e+01,-8.798643112182617188e+00,-1.571564078330993652e+00
-1.780441856384277344e+01,-8.610172271728515625e+00,-1.618473649024963379e+00
-1.780441856384277344e+01,-8.503179550170898438e+00,-1.656043648719787598e+00
-1.780441856384277344e+01,-8.411673545837402344e+00,-1.657739996910095215e+00
-1.780441856384277344e+01,-8.314366340637207031e+00,-1.664675593376159668e+00
-1.780441856384277344e+01,-8.251123428344726562e+00,-1.689950585365295410e+00
-1.780441856384277344e+01,-8.165894508361816406e+00,-1.669380784034729004e+00
-1.780441856384277344e+01,-8.015547752380371094e+00,-1.665819287300109863e+00
-1.783784675598144531e+01,-7.904749870300292969e+00,-1.671975970268249512e+00
-1.780441856384277344e+01,-7.828736782073974609e+00,-1.700044751167297363e+00
-1.780441856384277344e+01,-7.724397659301757812e+00,-1.688349843025207520e+00
-1.780441856384277344e+01,-7.741068363189697266e+00,-1.740327954292297363e+00
-1.780441856384277344e+01,-7.604953289031982422e+00,-1.690326571464538574e+00
-1.780441856384277344e+01,-7.547433853149414062e+00,-1.686541438102722168e+00
-1.783784675598144531e+01,-7.529077529907226562e+00,-1.707846760749816895e+00
-1.780441856384277344e+01,-7.421336650848388672e+00,-1.687328457832336426e+00
-1.780441856384277344e+01,-7.336862564086914062e+00,-1.708485722541809082e+00
-1.788680076599121094e+01,-7.346714973449707031e+00,-1.697873473167419434e+00
-1.780441856384277344e+01,-7.206108093261718750e+00,-1.703874707221984863e+00
-1.780441856384277344e+01,-7.168426036834716797e+00,-1.671574950218200684e+00
-1.780441856384277344e+01,-1.192020034790039062e+01,-9.082627892494201660e-01
-1.780441856384277344e+01,-1.123110198974609375e+01,-9.030013680458068848e-01
-1.783784675598144531e+01,-1.116368961334228516e+01,-9.044204354286193848e-01
-1.783784675598144531e+01,-1.103222274780273438e+01,-9.035680890083312988e-01
-1.780441856384277344e+01,-1.014905357360839844e+01,-1.027730584144592285e+00
-1.780441856384277344e+01,-9.622659683227539062e+00,-1.261183381080627441e+00
-1.783784675598144531e+01,-9.420086860656738281e+00,-1.330014109611511230e+00
-1.780441856384277344e+01,-9.277974128723144531e+00,-1.367177844047546387e+00
-1.783784675598144531e+01,-7.834940910339355469e+00,-1.691872715950012207e+00
-1.780441856384277344e+01,-7.649750709533691406e+00,-1.708306670188903809e+00
-1.783784675598144531e+01,-7.462168216705322266e+00,-1.712870717048645020e+00
-1.783784675598144531e+01,-7.197176933288574219e+00,-1.713029265403747559e+00
-1.780441856384277344e+01,-1.144482421875000000e+01,-8.974004387855529785e-01
-1.780441856384277344e+01,-8.739035606384277344e+00,-1.613496661186218262e+00
-1.780441856384277344e+01,-8.190444946289062500e+00,-1.708627820014953613e+00
-1.780441856384277344e+01,-8.093517303466796875e+00,-1.702825188636779785e+00
-1.780441856384277344e+01,-7.935402870178222656e+00,-1.703962206840515137e+00
-1.780441856384277344e+01,-7.278960227966308594e+00,-1.699104905128479004e+00
-1.775322723388671875e+01,-1.200916862487792969e+01,-8.994947075843811035e-01
-1.775322723388671875e+01,-1.193256282806396484e+01,-9.215779900550842285e-01
-1.775322723388671875e+01,-1.184229278564453125e+01,-9.255083203315734863e-01
-1.775322723388671875e+01,-1.171539592742919922e+01,-9.335146546363830566e-01
-1.775322723388671875e+01,-1.162556838989257812e+01,-9.271293282508850098e-01
-1.775499916076660156e+01,-1.151451301574707031e+01,-8.870418667793273926e-01
-1.775322723388671875e+01,-1.141728591918945312e+01,-9.122148156166076660e-01
-1.775322723388671875e+01,-1.132806968688964844e+01,-8.887456059455871582e-01
-1.775322723388671875e+01,-1.138295173645019531e+01,-9.166765809059143066e-01
-1.775322723388671875e+01,-1.122568893432617188e+01,-8.939302563667297363e-01
-1.775322723388671875e+01,-1.120156669616699219e+01,-9.113021492958068848e-01
-1.775322723388671875e+01,-1.110231113433837891e+01,-8.533468842506408691e-01
-1.775322723388671875e+01,-1.100191974639892578e+01,-8.429878354072570801e-01
-1.775322723388671875e+01,-1.090143013000488281e+01,-8.896117806434631348e-01
-1.775322723388671875e+01,-1.080307102203369141e+01,-8.668609261512756348e-01
-1.775322723388671875e+01,-1.070728015899658203e+01,-8.386074900627136230e-01
-1.775322723388671875e+01,-1.063879489898681641e+01,-8.831182122230529785e-01
-1.775322723388671875e+01,-1.061934280395507812e+01,-9.104738831520080566e-01
-1.775322723388671875e+01,-1.052626037597656250e+01,-9.795029759407043457e-01
-1.775322723388671875e+01,-1.041651248931884766e+01,-9.859226346015930176e-01
-1.775322723388671875e+01,-1.036265087127685547e+01,-9.916711449623107910e-01
-1.775322723388671875e+01,-1.028178882598876953e+01,-9.975834488868713379e-01
-1.775322723388671875e+01,-1.020343017578125000e+01,-1.026702523231506348e+00
-1.775499916076660156e+01,-1.014614582061767578e+01,-9.850526452064514160e-01
-1.775322723388671875e+01,-1.012095546722412109e+01,-1.010936379432678223e+00
-1.775322723388671875e+01,-1.001389122009277344e+01,-1.086126685142517090e+00
-1.775322723388671875e+01,-9.986129760742187500e+00,-1.082882523536682129e+00
-1.775322723388671875e+01,-9.812994956970214844e+00,-1.161064982414245605e+00
-1.775322723388671875e+01,-9.721709251403808594e+00,-1.197512745857238770e+00
-1.775499916076660156e+01,-9.692205429077148438e+00,-1.196696877479553223e+00
-1.775322723388671875e+01,-9.625044822692871094e+00,-1.245879054069519043e+00
-1.775322723388671875e+01,-9.561423301696777344e+00,-1.259190678596496582e+00
-1.775322723388671875e+01,-9.465408325195312500e+00,-1.271145939826965332e+00
-1.775322723388671875e+01,-9.420440673828125000e+00,-1.328492522239685059e+00
-1.775499916076660156e+01,-9.395082473754882812e+00,-1.299280047416687012e+00
-1.775322723388671875e+01,-9.309712409973144531e+00,-1.374347567558288574e+00
-1.775322723388671875e+01,-9.238147735595703125e+00,-1.386888146400451660e+00
-1.775322723388671875e+01,-9.102292060852050781e+00,-1.480091691017150879e+00
-1.775499916076660156e+01,-9.057550430297851562e+00,-1.503141760826110840e+00
-1.775322723388671875e+01,-9.028641700744628906e+00,-1.480523705482482910e+00
-1.775322723388671875e+01,-8.948114395141601562e+00,-1.494841933250427246e+00
-1.775499916076660156e+01,-8.901176452636718750e+00,-1.516172051429748535e+00
-1.775322723388671875e+01,-8.863122940063476562e+00,-1.514227509498596191e+00
-1.775322723388671875e+01,-8.702972412109375000e+00,-1.601642489433288574e+00
-1.775322723388671875e+01,-8.643429756164550781e+00,-1.637953162193298340e+00
-1.775322723388671875e+01,-8.510999679565429688e+00,-1.641331791877746582e+00
-1.775499916076660156e+01,-8.431324005126953125e+00,-1.705152153968811035e+00
-1.775322723388671875e+01,-8.437117576599121094e+00,-1.694570422172546387e+00
-1.775322723388671875e+01,-8.307100296020507812e+00,-1.676851153373718262e+00
-1.775499916076660156e+01,-8.291922569274902344e+00,-1.702285408973693848e+00
-1.775322723388671875e+01,-8.211559295654296875e+00,-1.675155997276306152e+00
-1.775322723388671875e+01,-8.179448127746582031e+00,-1.648471951484680176e+00
-1.775322723388671875e+01,-8.095446586608886719e+00,-1.699928879737854004e+00
-1.775322723388671875e+01,-8.032662391662597656e+00,-1.716446280479431152e+00
-1.775322723388671875e+01,-7.990642547607421875e+00,-1.701283574104309082e+00
-1.775499916076660156e+01,-7.893681526184082031e+00,-1.686935782432556152e+00
-1.775322723388671875e+01,-7.813246726989746094e+00,-1.720448851585388184e+00
-1.775322723388671875e+01,-7.712671279907226562e+00,-1.703027367591857910e+00
-1.775499916076660156e+01,-7.656657218933105469e+00,-1.699877619743347168e+00
-1.775322723388671875e+01,-7.537005901336669922e+00,-1.698644757270812988e+00
-1.775322723388671875e+01,-7.589851379394531250e+00,-1.708298802375793457e+00
-1.775499916076660156e+01,-7.423727989196777344e+00,-1.684687733650207520e+00
-1.775499916076660156e+01,-7.321918487548828125e+00,-1.724582314491271973e+00
-1.775499916076660156e+01,-7.293274879455566406e+00,-1.684064030647277832e+00
-1.775322723388671875e+01,-7.193289279937744141e+00,-1.717014193534851074e+00
-1.775322723388671875e+01,-1.185003185272216797e+01,-8.827827572822570801e-01
-1.775322723388671875e+01,-1.151006984710693359e+01,-9.347351193428039551e-01
-1.775322723388671875e+01,-1.116333103179931641e+01,-9.037852883338928223e-01
-1.775322723388671875e+01,-1.044731140136718750e+01,-1.001330018043518066e+00
-1.775322723388671875e+01,-1.031212043762207031e+01,-1.019544720649719238e+00
-1.775322723388671875e+01,-1.004194355010986328e+01,-1.100503087043762207e+00
-1.775322723388671875e+01,-9.900756835937500000e+00,-1.131103157997131348e+00
-1.775322723388671875e+01,-9.750793457031250000e+00,-1.201675057411193848e+00
-1.775322723388671875e+01,-9.519494056701660156e+00,-1.315623641014099121e+00
-1.775322723388671875e+01,-8.747947692871093750e+00,-1.593896269798278809e+00
-1.775322723388671875e+01,-8.578953742980957031e+00,-1.595178723335266113e+00
-1.775322723388671875e+01,-7.945992946624755859e+00,-1.689272046089172363e+00
-1.775322723388671875e+01,-7.643195629119873047e+00,-1.716306567192077637e+00
-1.775322723388671875e+01,-7.403319835662841797e+00,-1.707222342491149902e+00
-1.775322723388671875e+01,-7.345219612121582031e+00,-1.699484467506408691e+00
-1.775322723388671875e+01,-7.251438140869140625e+00,-1.728023409843444824e+00
-1.775322723388671875e+01,-7.148922443389892578e+00,-1.691078543663024902e+00
-1.766864776611328125e+01,-1.201792907714843750e+01,-9.084745049476623535e-01
-1.766864776611328125e+01,-1.205871963500976562e+01,-8.987198472023010254e-01
-1.766864776611328125e+01,-1.197004032135009766e+01,-9.099996685981750488e-01
-1.766864776611328125e+01,-1.182607173919677734e+01,-9.071455597877502441e-01
-1.766864776611328125e+01,-1.173264122009277344e+01,-9.545617699623107910e-01
-1.766864776611328125e+01,-1.163126277923583984e+01,-9.344404339790344238e-01
-1.766864776611328125e+01,-1.151417446136474609e+01,-9.404283165931701660e-01
-1.766864776611328125e+01,-1.143332386016845703e+01,-9.356637597084045410e-01
-1.766864776611328125e+01,-1.131956863403320312e+01,-9.318678975105285645e-01
-1.767099380493164062e+01,-1.133145904541015625e+01,-8.939738869667053223e-01
-1.766864776611328125e+01,-1.120947456359863281e+01,-8.667588829994201660e-01
-1.766864776611328125e+01,-1.113254737854003906e+01,-9.085734486579895020e-01
-1.767099380493164062e+01,-1.111592960357666016e+01,-8.782210946083068848e-01
-1.766864776611328125e+01,-1.102473354339599609e+01,-8.885958790779113770e-01
-1.766864776611328125e+01,-1.092000102996826172e+01,-8.635469079017639160e-01
-1.766864776611328125e+01,-1.083365058898925781e+01,-8.703463673591613770e-01
-1.766864776611328125e+01,-1.071185970306396484e+01,-8.515468239784240723e-01
-1.766864776611328125e+01,-1.063311195373535156e+01,-8.649440407752990723e-01
-1.766864776611328125e+01,-1.051728439331054688e+01,-9.430096745491027832e-01
-1.766864776611328125e+01,-1.044322872161865234e+01,-9.816027283668518066e-01
-1.766864776611328125e+01,-1.042247486114501953e+01,-1.016638875007629395e+00
-1.766864776611328125e+01,-1.031627941131591797e+01,-1.048586487770080566e+00
-1.767099380493164062e+01,-1.033280658721923828e+01,-9.754319787025451660e-01
